id,text,label,mode
1DmNV9C1hbY_2,um i loved the very first alvin and the chipmunks movie,1.6,train
1DmNV9C1hbY_3,because it had a real nostalgic feel to it,1.0,train
1DmNV9C1hbY_4,it reminded me of getting up on a saturday morning and eating fruit loops and um watching cartoons,2.0,train
1DmNV9C1hbY_5,but you know for this one i just didnt care,-1.8,train
1DmNV9C1hbY_6,um i saw no reason why they needed to bring back the villain from the first one,-1.6,train
1DmNV9C1hbY_7,and um while the trailer made the film look real nice and cute,-1.6,train
1DmNV9C1hbY_8,it was just flat,-1.8,train
1DmNV9C1hbY_9,um im sure kids are gonna love it,2.2,train
1DmNV9C1hbY_10,kids are gonna love the film,2.6,train
1DmNV9C1hbY_11,but for me i was just a little bored,-1.8,train
1DmNV9C1hbY_12,sure there were cute money parts in the mixting of the film,0.4,train
1DmNV9C1hbY_13,but otherwise i dont know,-1.25,train
1DmNV9C1hbY_14,i didnt even care for it,-2.0,train
1iG0909rllw_1,and i thought they were average,-0.4,train
1iG0909rllw_2,lets face it they are really not master pieces,-1.75,train
1iG0909rllw_3,i thought twilight directed by catherine hardwicke was actually really rather enjoyable,2.0,train
1iG0909rllw_4,um i mean obviously it had its flaws,-1.2,train
1iG0909rllw_5,but cinematicly i thought it was good quite good,2.2,train
1iG0909rllw_6,it wasit was enjoyable,1.6,train
1iG0909rllw_7,i wasnt thinking on hearing that chris weitz was gonna start the new moon because of the destruction that was phillip pullman the golden compassi thought,-0.6,train
1iG0909rllw_8,that film was awful,-2.4,train
1iG0909rllw_9,and i i didint really know what to expect from new moon um in terms of his direction,-0.2,train
1iG0909rllw_10,overall new moon was it was ok just average,0.6,train
1iG0909rllw_11,the thing is its a very good translation of the book,2.2,train
1iG0909rllw_12,its very very loyal to the book,1.6,train
1iG0909rllw_13,and i really appreciate that loyalty,1.4,train
1iG0909rllw_14,um however it is this loyalty to the original source that gives it its flaws,-0.2,train
1iG0909rllw_15,book is not necessarily the most thrilling book ever,-1.4,train
1iG0909rllw_16,i mean the entire xxx is bella swan kristen kristens stewards character mobbing around completely depressed,-1.4,train
1iG0909rllw_17,it wasnt really the best the most thrilling read ever ill say that,-1.4,train
1iG0909rllw_18,so overallnew moon even with the bigger better budgets huh it was still too long,-1.8,train
1iG0909rllw_19,the angsty too angsty moments withdrawn out to the max as far as thay can go,-1.0,train
1iG0909rllw_20,and the script it left all the key plots and emotion from the characters to be exposed through dialogue,0.4,train
1iG0909rllw_21,i think it was empire magazines review of new moon that said that kristen relied heavily on the tactic of tactic of blinking a lot which she really does do a lot,-0.4,train
1iG0909rllw_22,but at the same goes for rob pattinson as edward and taylor lautner as jacob they do a lot of frowning im a manly man and i frown,-0.2,train
1iG0909rllw_23,for the moment in this the whole cinema was laughting and,1.8,train
1iG0909rllw_24,and you knew you shouldnt be laughing,-1.0,train
1iG0909rllw_25,my favorite scene would definately be the volturi um,2.0,train
1iG0909rllw_26,volturi um then my wins on screen wiskers i mean they were really worn in a lots which is a shame because i thought xxx really rather good,-0.6,train
1iG0909rllw_27,and um michael sheen as aro as well he was rather enjoyable to watch,1.8,train
1iG0909rllw_28,and i think the volturi that was my exciting bit of the entire film,1.2,train
1iG0909rllw_29,the rest of the film was just watching kristen just mob around,-1.4,train
1iG0909rllw_30,and that was really boring,-1.6,train
2WGyTLYerpo_1,say that i really enjoyed cowboys and aliens,2.0,train
2WGyTLYerpo_2,there was a lot of fun,0.4,train
2WGyTLYerpo_3,you guys dont know what youre gonna go and see when you go walk into the movie called cowboys and aliens,0.0,train
2WGyTLYerpo_4,if youre expecting some artsy serious oscar contender than youre wrong,-0.4,train
2WGyTLYerpo_5,the only oscar that i can even thing of is maybe like best cinematography,0.0,train
2WGyTLYerpo_6,because the cinematography in this movie is great,2.4,train
2WGyTLYerpo_7,and maybe best visual effects,1.6,train
2WGyTLYerpo_8,coz the visual effects are pretty cool,1.8,train
2WGyTLYerpo_9,but again you you cant expect a huge like surreal mind bender from the movie called cowboys and aliens yo,-0.4,train
2WGyTLYerpo_10,and its satisfactory,0.8,train
2WGyTLYerpo_11,the action is really intense which surprised me,2.2,train
2WGyTLYerpo_12,i didnt expect the action to be so intense,1.2,train
2WGyTLYerpo_13,theres some really intense action scenes especially the scene when the aliens first invade,2.0,train
2WGyTLYerpo_14,that scene is like crazy,0.2,train
2WGyTLYerpo_15,it gave me chills,0.5,train
2WGyTLYerpo_16,i its a lot of fun,2.0,train
2WGyTLYerpo_17,the action is really cool,2.6,train
2WGyTLYerpo_18,the aliens are really cool,2.2,train
2WGyTLYerpo_19,one thing i like with the aliens is that a they are not just weak links that hide behind the technology,1.4,train
2WGyTLYerpo_20,they are huge,1.0,train
2WGyTLYerpo_21,theyre really strong,0.8,train
2WGyTLYerpo_22,and theyre kind of scary looking,-0.8,train
2WGyTLYerpo_23,i didnt expect that,0.0,train
2WGyTLYerpo_24,and also i like how its kind of upfront to show them to us instead of hiding them like showing a little like an arm on scene or something no they just straight up show it to us,1.6,train
2WGyTLYerpo_25,and i really enjoyed that,1.8,train
2WGyTLYerpo_26,i it was really cool when they did that,1.8,train
2WGyTLYerpo_27,coz the aliens were really cool looking,1.8,train
2WGyTLYerpo_28,daniel craig does a very good job here,2.4,train
2WGyTLYerpo_29,he kind of channels the man with no name clint eastwood,0.6,train
2WGyTLYerpo_30,and a lot of people have been saying that,-0.2,train
2WGyTLYerpo_31,i think he does a great job at what he does,2.0,train
2WGyTLYerpo_32,hes a really bad ass,2.2,train
2WGyTLYerpo_33,is really really hard core,1.2,train
2WGyTLYerpo_34,he doesnt take crap from anybody,0.6,train
2WGyTLYerpo_35,and he does a really good job,2.2,train
2WGyTLYerpo_36,also his innocent accent is pretty convincing,1.2,train
2WGyTLYerpo_37,harrison ford is also good,1.4,train
2WGyTLYerpo_38,hes he gives an entertaining performance as the kind of like the leader the of the town,1.0,train
2WGyTLYerpo_39,at first hes just kind of like grumpy old guy,-0.6,train
2WGyTLYerpo_40,but he becomes more likeable,0.6,train
2WGyTLYerpo_41,his guts developed more as more likeable character,0.6,train
2WGyTLYerpo_42,so you can care about him,0.0,train
2WGyTLYerpo_43,and alsoum olivia wild shes pretty good shes,2.0,train
2WGyTLYerpo_45,and shes not a bad actor,0.2,train
2WGyTLYerpo_46,shes actually pretty good,1.4,train
2WGyTLYerpo_47,everything nowadays,0.0,train
2WGyTLYerpo_48,there are some flaws here,-1.0,train
2WGyTLYerpo_49,and there but theyre not huge glaring flaws,-0.6,train
2WGyTLYerpo_50,but they are noticable flaws,-1.8,train
2WGyTLYerpo_51,such as sometimes the aliens in the western setting do look a little goofy,-0.6,train
2WGyTLYerpo_52,but i was kind of expecting that,0.0,train
2WGyTLYerpo_53,i wasnt a huge fan of it,-1.0,train
2WGyTLYerpo_54,i just thought it was kind of stupid,-2.0,train
2WGyTLYerpo_55,and sometimes it kind of veers into cliche action movie territory,-1.0,train
2WGyTLYerpo_56,like a movie called cowboys and aliens a lot of people would think would be kind of like crazy,-0.4,train
2WGyTLYerpo_57,but sometimes it just veers entirely cliche action movie territory again,-1.6,train
2WGyTLYerpo_58,not a huge flaw but its there and its noticable overall,-1.4,train
2WGyTLYerpo_59,overall i really enjoyed cowboys and aliens,2.0,train
2WGyTLYerpo_60,and im gonna give it an eight out of ten,2.2,train
2WGyTLYerpo_61,it was really fun,1.4,train
2WGyTLYerpo_62,a very good time,2.2,train
2WGyTLYerpo_63,and i definately recommend you check it out in theaters,2.2,train
2iD-tVS8NPw_1,before i went in to see the green lantern ive been hearing all these like critics basically just trashing this movie left and right,-0.5,train
2iD-tVS8NPw_2,but i at the same time i do wanna just say that i enjoyed this movie,2.2,train
2iD-tVS8NPw_3,i enjoyed it for what it was you know,1.4,train
2iD-tVS8NPw_4,its a huge sort of spectacle movie that is great for this summer time you know,2.2,train
2iD-tVS8NPw_5,this is a movie that youre gonna go out and see,2.0,train
2iD-tVS8NPw_6,and you wanna see it in 3d because,2.0,train
2iD-tVS8NPw_7,because i i would actually say this probably is one of the first movies this year that ive seen this year that you wanna see in 3d especially for just the opening portion,2.4,train
2iD-tVS8NPw_8,it looks really good,1.8,train
2iD-tVS8NPw_9,and the rest of it does look good as well,1.4,train
2iD-tVS8NPw_10,and i just had fun watching this movie,2.2,train
2iD-tVS8NPw_11,its not like a dark movie or anything,0.2,train
2iD-tVS8NPw_12,its very much a light hearted,1.2,train
2iD-tVS8NPw_13,so its perfect for kids as well as just like teenagers as well who just wanna see a lot of explosions and some crazy stuff,2.2,train
2iD-tVS8NPw_14,and you know going into it or these watching the trailers before head i was really kind of hesitant about seeing the green lantern in the first place,-1.0,train
2iD-tVS8NPw_15,because it looks like a cartoon,-1.5,train
2iD-tVS8NPw_16,im not really a huge fan of having like all these 3d characters,-1.6,train
2iD-tVS8NPw_17,because i think why not just make this you know movie this live action movie and talk cartoon,-0.6,train
2iD-tVS8NPw_18,thats really the route that youre gonna go,0.33333334,train
2iD-tVS8NPw_19,and it seemed like they were gonna go that route but,0.0,train
2iD-tVS8NPw_20,route but i think there was also some sort of like um tone within the actual um powers of the green lantern and himself and that you can basically think up of anything and you can project that into the real life,0.8,train
2iD-tVS8NPw_21,and i think having this sort of superpower almost this power to just imagine anything kind of just um helped me get passed that you know these are all cgi characters and set,1.0,train
2iD-tVS8NPw_22,this is a playground and their imaginary playground and anything can happen anything that what also made the film exciting,2.2,train
2iD-tVS8NPw_23,because you dont entirely know whats coming next,0.2,train
2iD-tVS8NPw_24,but then you kind of like walk out of the movie and youre like well i i get what happened i understand what happened,-1.0,train
2iD-tVS8NPw_25,but what what would you do for green lantern movie 2 that would be even like worth while now,-0.8,train
2iD-tVS8NPw_26,because i mean if hes able to do all of this sort of stuff like how youre supposed to really put up a force that can push him to the next level or or destroy him at the same time,0.0,train
2iD-tVS8NPw_27,and it does kind of a lea helps alleviate what that whole was is about fighting the ultimate enemy within this first movie and that the threat is still there potentially speaking,1.4,train
2iD-tVS8NPw_28,so its kind of interesting to see um where theyre gonna be going with that,1.6,train
2iD-tVS8NPw_29,im looking forward to it ive got to say,2.0,train
2iD-tVS8NPw_30,its not like the green lantern is the next batman begins or or the dark nighter,-0.4,train
5W7Z1C_fDaE_1,probably one of the ballsiest probably one of the ballsiest fims od sundance 2011 um,2.0,train
5W7Z1C_fDaE_2,2011 um as really the best way to describe this film is its big,1.4,train
5W7Z1C_fDaE_3,its bold,0.8,train
5W7Z1C_fDaE_4,its strong,0.4,train
5W7Z1C_fDaE_5,it makes big powerfuls statements,2.0,train
5W7Z1C_fDaE_6,it doesnt hold back,0.5,train
5W7Z1C_fDaE_7,everything from the way its being released to the performances and to the story itself is absolutely ovrt the top impressive,2.2,train
5W7Z1C_fDaE_8,and really well done,2.6,train
5W7Z1C_fDaE_9,its a huge break through for kevin smith,2.4,train
5W7Z1C_fDaE_10,its completely different from anything weve ever seen him do before,0.4,train
5W7Z1C_fDaE_11,john goodman absolutely amazing,2.6,train
5W7Z1C_fDaE_12,melissa leo will have you creeped out to your inner core with her tiny little smile,0.8,train
5W7Z1C_fDaE_13,its so well done,2.6,train
5W7Z1C_fDaE_14,for all of those people who are hating on it i dont know what they are complaining about it,1.8,train
5W7Z1C_fDaE_15,its a horror film ia a true sense,0.25,train
5W7Z1C_fDaE_16,and it is absolutely horrifying,-2.0,train
5W7Z1C_fDaE_17,um it is it is definately one of those films thats not gonna be easy for you to find,0.2,train
5W7Z1C_fDaE_18,its being released in a very interesting way,1.2,train
5W7Z1C_fDaE_19,whenever it comes to your town do not miss it,2.8,train
5W7Z1C_fDaE_20,its extremly well made,2.8,train
5W7Z1C_fDaE_21,its extremly dare i say fun to watch in a really messed up kind of way,2.0,train
5W7Z1C_fDaE_22,its extremly dare i say fun to watch in a really messed up kind of way and even now its a horror film,1.6,train
5W7Z1C_fDaE_23,its definately got some fun kevin smith moments in it for you to laugh with um,1.8,train
6Egk_28TtTM_1,i just got finished watching an excellent movie called mars needs moms,3.0,train
6Egk_28TtTM_2,and my favorite characters in the movie would have to be milo milos mother and gribble,2.0,train
6Egk_28TtTM_3,i liked gribble because he helped milo get milos mother away from the alians which,1.8,train
6Egk_28TtTM_4,alians which i thought was awesome,2.8,train
6Egk_28TtTM_5,and my favorite part in the movie was when milo has to save gribble,2.2,train
6Egk_28TtTM_6,and i would recommend this movie for ages 3 and up,2.0,train
6Egk_28TtTM_7,because it is a good movie,2.2,train
6Egk_28TtTM_8,and it depends what age you are and how you to how you feel like see the movie,0.8,train
6Egk_28TtTM_9,like for example my brother is five years old and he didnt think this movie was scary at all,-0.4,train
6Egk_28TtTM_10,i am eight years old and i thought it was really s kind of scary,0.6,train
6Egk_28TtTM_11,and i think i why i would be scared is because i would feel scared and kind of sad if i lost my own mother,-1.2,train
6Egk_28TtTM_12,but it all turns out great in the end,2.4,train
6_0THN4chvY_1,and so i was kind of curious to see maybe if that was what disney was going for and it definately was what thay were going for,1.6,train
6_0THN4chvY_2,but i bet if you put them next to the new film that the style would be similar enough that you wouldnt be able to really tell what the difference is,0.6,train
6_0THN4chvY_3,um its its great if you remember that was old films,2.0,train
6_0THN4chvY_4,would be great for kids too,2.0,train
6_0THN4chvY_5,the story is pretty simple,0.0,train
6_0THN4chvY_6,weve got great jokes,1.6,train
6_0THN4chvY_7,um funny jokes that the kids would get,0.8,train
6_0THN4chvY_8,um i love the scene where eeyore and pooh think that owl is getting sick,2.0,train
6_0THN4chvY_9,because he says issue and they think he is saying at you,-0.6,train
6_0THN4chvY_10,um that was probably part of the trailer that got me to go and see the movie,0.4,train
6_0THN4chvY_11,wanted to see how they could frame that,0.25,train
6_0THN4chvY_12,so um if you havent seen winnie the pooh and you like family films go see it,1.8,train
6_0THN4chvY_13,its a great one,2.2,train
6_0THN4chvY_14,i definately recommend it,2.2,train
73jzhE8R1TQ_1,um so there are things that i liked about the movie better than i liked about the book and vice verse,1.0,train
73jzhE8R1TQ_2,it wasnt like it wasnt like oh the book was so much harder than movie,-0.8,train
73jzhE8R1TQ_3,maybe because number four was not my all time favorite book,-0.8,train
73jzhE8R1TQ_4,it was a good book,1.6,train
73jzhE8R1TQ_5,but but um i wasnt crazy about it,-0.8,train
73jzhE8R1TQ_6,so yeah and the movie was pretty good in my opinion,1.8,train
73jzhE8R1TQ_7,so i liked the movie,1.4,train
73jzhE8R1TQ_8,because it did a good job of explaining the back story in the book,1.8,train
73jzhE8R1TQ_9,good job of explaining thing with lorain the mogadorians the,0.5,train
73jzhE8R1TQ_10,the mogadorians the numbers they and they kind of stuck to the book of it so i like that,1.4,train
73jzhE8R1TQ_11,and but xxx were too hollywood for me,-1.2,train
73jzhE8R1TQ_12,like th this thing isnt really a big deal but um i i ddint like the fact that john had an iphone because,-1.2,train
73jzhE8R1TQ_13,iphone because think about it if you if your top priority is survival than why would you be worried about having the latest technology you know what i mean,-0.6,train
73jzhE8R1TQ_14,so since were not really sure what their financial situation is they could be like scraping by or they could be totally rich,0.0,train
73jzhE8R1TQ_15,but my opinin like he shouldnt have an iphone he shouldnt care about the latest trends so thats really what the lieutenant xxx i,-1.6,train
73jzhE8R1TQ_16,xxx i thought it was all too commercial in that aspect,-0.2,train
73jzhE8R1TQ_17,um like i said it wasnt big deal,-0.4,train
73jzhE8R1TQ_18,and you probably dont think so but you know just one of those little things that that hurt you for some reason you know what i mean,-1.6,train
73jzhE8R1TQ_19,um another thing that did bother me were the kissings um,-1.2,train
7JsX8y1ysxY_1,um graphics were incredible,1.8,train
7JsX8y1ysxY_2,um some really good acting,2.2,train
7JsX8y1ysxY_3,some really sucky acting,-2.6,train
7JsX8y1ysxY_4,so this was pretty funny,1.4,train
7JsX8y1ysxY_5,coz people were like eating popcorn and you see the first show and people you hear like this this ripple effect of whispering oh my god is that a is that am i looking at this right what,1.0,train
7JsX8y1ysxY_6,i thought that was really funny,1.6,train
7JsX8y1ysxY_7,um there couldve been less blue nudity,-1.6,train
7JsX8y1ysxY_8,because what was weird was the fact that in part of the movie hes wearing like a blue um overall flong thing medal flong thing so i was like why not wear the whole whole time you know why why you got to go command on us,-1.2,train
7JsX8y1ysxY_9,it was funny though,1.8,train
7JsX8y1ysxY_10,hes funny,2.0,train
7JsX8y1ysxY_11,its kind of weird,-1.0,train
7JsX8y1ysxY_12,i dont know classic superhero kind of getting on kind of thing,0.6,train
7JsX8y1ysxY_13,all right so enough of the nudity,-1.6,train
7JsX8y1ysxY_14,um but what sucked what was bad was malin akerman the girl who plays the silk spectre ii um,-2.2,train
7JsX8y1ysxY_15,ii um junior lady girl i know i i mean she looked fan fantastic,-0.4,train
7JsX8y1ysxY_16,she looked phenomenal,2.2,train
7JsX8y1ysxY_17,she looked like a superhero,0.8,train
7JsX8y1ysxY_18,but she acted like power ranger,-0.4,train
7JsX8y1ysxY_19,and theres a vast difference between those two things,-0.2,train
7JsX8y1ysxY_20,ill tell you who made the movie,0.8,train
7JsX8y1ysxY_21,who was just kick ass 100 of time was the guy that played our rorschach,1.8,train
7JsX8y1ysxY_22,but anyways he was awesome,2.6,train
7JsX8y1ysxY_23,i thought that was very cool,2.4,train
7JsX8y1ysxY_24,um he was awesome,2.4,train
7JsX8y1ysxY_25,like he was incredible,2.6,train
7JsX8y1ysxY_26,the other guy that did a really good job was um jeffrey dean morgan,1.8,train
7JsX8y1ysxY_27,he did a very good job,2.0,train
7JsX8y1ysxY_28,very dark,-1.25,train
7JsX8y1ysxY_29,um i really liked sicko guy,-1.5,train
7JsX8y1ysxY_30,but um he did a really good job at acting,2.2,train
7JsX8y1ysxY_31,i was very impressed,2.2,train
7JsX8y1ysxY_32,so overall its its like a blend of youve got alternative history,0.6,train
7JsX8y1ysxY_33,and its very very interesting,1.4,train
7JsX8y1ysxY_34,um but its extremely dark,-0.6,train
7JsX8y1ysxY_35,i warn you its a very very dark,-1.0,train
7JsX8y1ysxY_36,and um theres not in my opinion there wasnt very much of a balance between sort of like the good evil kind of thing,-1.6,train
7JsX8y1ysxY_37,and it seemed like everything was sort of overwhelmingly bad,-1.6,train
7JsX8y1ysxY_38,um so at the end theres not really a whole lot of redeeming value that i think you come up with,-1.8,train
7JsX8y1ysxY_39,but um you know overall it was good,1.8,train
8OtFthrtaJM_1,which is where all great relationships should start,0.4,train
8OtFthrtaJM_2,and just its very its very chaotic at the end of this movie,-1.0,train
8OtFthrtaJM_3,i literally said out loud what que what is this movie that i am seeing what is this,-2.4,train
8OtFthrtaJM_4,i do not understand this movie,-2.0,train
8OtFthrtaJM_5,but theres a reason for that theres a reason for why i was confused,-0.2,train
8OtFthrtaJM_6,first off the commercial makes the terrible terrible mistake of saying that it is more thought provoking than inception,-2.6,train
8OtFthrtaJM_7,thanks a lot commercial,-1.4,train
8OtFthrtaJM_8,the entire time i was constantly comparing it to inception,-0.2,train
8OtFthrtaJM_9,but i must say those are some pretty big shoes to fill so i thought maybe it has a chance,0.4,train
8OtFthrtaJM_10,i i should give it a shot you know,0.6,train
8OtFthrtaJM_11,i was just waiting for joseph gordon levitt to come out just jump out any time and say its a paradox,-0.5,train
8OtFthrtaJM_12,now the only suspensful part that i found in the first thirty minutes of the movie was when matt damon first discovers the bureau in the first place,-0.8,train
8OtFthrtaJM_13,which kind of just ruins the suspense right there because if youve got some convenient guy in a fedora to just tell you oh yes we are the adjustement bureau and this is what we do you know its just kind of ruins the suspense,-2.2,train
8OtFthrtaJM_14,and now im not im not excited anymore,-1.4,train
8OtFthrtaJM_15,interestingly it turned out to be more of a romantic comedy than it was a thriller,0.0,train
8OtFthrtaJM_16,um you know it had some interesting writing,0.6,train
8OtFthrtaJM_17,you know it was it was funny at times,1.0,train
8OtFthrtaJM_18,matt damon is a you know hes a pretty funny guy,1.4,train
8OtFthrtaJM_19,but just aside from that they really dropped the ball on the suspensful parts,-2.2,train
8OtFthrtaJM_20,overall overall it had far too many plot holes,-1.8,train
8OtFthrtaJM_21,and just not enough depth to be interesting,-2.2,train
8OtFthrtaJM_22,i have to say my favorite character in the entire movie is the character thompson,2.0,train
8OtFthrtaJM_23,but hes just the creepiest old guy youll ever see in your life he stands over people when theyre asleep just staring at them,-1.0,train
8d-gEyoeBzc_1,um im gonna give the reasons why i like him,1.2,train
8d-gEyoeBzc_2,but mostly im gonna give the reasons of why i dont think hes gonna be a classic in the same way as the first movie predator or aliens,-0.8,train
8d-gEyoeBzc_3,um which i think rodrigez was going for he th th he always said that he was gonna do the sequel um he wanted this to be um th the predator equivalent of aliens,-0.2,train
8d-gEyoeBzc_4,um as um you know as aliens was to alien,-0.2,train
8d-gEyoeBzc_5,um and im gonna really point out why that i dont think he really pulled he pulled that off,-2.0,train
8d-gEyoeBzc_6,um why was a mistake really to try and do that,-1.5,train
8d-gEyoeBzc_7,um but i did enjoy it,0.2,train
8d-gEyoeBzc_8,so um im gonna point out the stuff i did like there were some action scenes in it,1.2,train
8d-gEyoeBzc_9,the characters were well developed um not all of the characters,1.4,train
8d-gEyoeBzc_10,but um i would say that um there was theres good there were four good characters in there,0.6,train
8d-gEyoeBzc_11,um i i liked agent brodys character,1.6,train
8d-gEyoeBzc_12,i thought he was um well developed,1.6,train
8d-gEyoeBzc_13,you know well drawn out character,1.4,train
8d-gEyoeBzc_14,someone you cared about,0.0,train
8d-gEyoeBzc_15,i liked the girl who was the israeli sniper,0.8,train
8d-gEyoeBzc_16,i thought she was the number one well drawn character,1.2,train
8d-gEyoeBzc_17,um i liked the russian guy juri i,1.0,train
8d-gEyoeBzc_18,um you cared you there was enough in there for you to care about him,0.6,train
8d-gEyoeBzc_19,and xxx was an interesting character,1.6,train
8d-gEyoeBzc_20,um he had some funny he had a few one lines that was quite quite funny,1.2,train
8d-gEyoeBzc_21,yeah once unfortunately um i think in the writing somewhere they they just werent um developed enough fear to care about them um and that includes is it topher graces i think i think his name was includs his character um,-2.0,train
8d-gEyoeBzc_22,um i just didnt think it was well developed enough and um i also i i include in that laurence fishburnes character as well,-1.0,train
8d-gEyoeBzc_23,who i think rodrigez when he wrote the mo wrote the movie was going for a marlon brando apocalipse now type of character,-0.4,train
8d-gEyoeBzc_24,but he actually found um when hes seen come up it slowed the movie down um and this is the problem um with predator to predators compared to predator,-1.4,train
8d-gEyoeBzc_25,predator is really well paced movie,1.8,train
8d-gEyoeBzc_26,and it picks up speed and never lets go ev even in the same xxx where they they slow you know they meant to have some dialogue and and talk about whats going on yo you know,1.0,train
8d-gEyoeBzc_27,it felt the movie slowed down wheres it in the middle of this,-1.4,train
8d-gEyoeBzc_28,when when they they with um laurence fishburne character it does slow down a great deal,-0.8,train
8d-gEyoeBzc_29,i didnt really feel um the inclusion of his charater was necessary,-1.4,train
8d-gEyoeBzc_30,um it couldve been written out,-0.8,train
8qrpnFRGt2A_1,and um i have to admit i was watching this i purposly put it on because i figured it would be something that would be stupid that i could fall asleep in the middle of and not miss too much,-1.4,train
8qrpnFRGt2A_2,just wanted something to watch while i was falling asleep,-0.4,train
8qrpnFRGt2A_3,so i didnt didnt have very high expectations for this movie,-1.6,train
8qrpnFRGt2A_4,and i um pretty much it pretty much met my low expectations for the most part,-1.4,train
8qrpnFRGt2A_5,because i three major complaints i have about this movie,-1.4,train
8qrpnFRGt2A_6,um biggest one is the cgi effects were just terrible,-2.6,train
8qrpnFRGt2A_7,and um the story was pretty weird,-1.6,train
8qrpnFRGt2A_8,um and again i i if i had to pay closer attention i might have followed it more,-0.8,train
8qrpnFRGt2A_9,and might have been it might have made more sense,-1.0,train
8qrpnFRGt2A_10,um um this movie this movie um by half way through i was checking the time and saw that this movie was two hours long,-2.2,train
8qrpnFRGt2A_11,which i mean for a movie about ji joe ninty minutes is enough,-0.8,train
8qrpnFRGt2A_12,ok i dont need a three hour mini xxx about ji joe,-2.0,train
8qrpnFRGt2A_13,but thats just me,-0.33333334,train
8qrpnFRGt2A_14,i thought that two hours was way too long for this movie,-1.8,train
8qrpnFRGt2A_15,and the last big thing was um just the the it it i know its about jijoe you know obviously its gonna be about the army but it just felt like um like um military propaganda kind of like you know,-1.6,train
8qrpnFRGt2A_16,it fell like i was watching one of those army of one commercials sometimes,-1.0,train
8qrpnFRGt2A_17,of course its too much,-0.6666667,train
8qrpnFRGt2A_18,of course its gonna be making them look good just fine,0.6,train
8qrpnFRGt2A_19,i i guess um but the funny thing is um i mean funny thing is despite as despite everything bad about this movie i ended up half way liking it,0.6,train
8qrpnFRGt2A_20,and thats because about half way through the movie i realized that this is just its really just a cartoon,-0.8,train
8qrpnFRGt2A_21,if you look at it as a live action movie you youre gonna be disappointed,-2.0,train
8qrpnFRGt2A_22,but if you look at it as a cartoon which is pretty much mostly is with all the cgi fx and,-1.0,train
8qrpnFRGt2A_23,fx and and there is a lot of it,-0.33333334,train
8qrpnFRGt2A_24,i mean this movie makes um makes um star wars pretty close,0.0,train
8qrpnFRGt2A_25,i mean its its about that level star war is,0.2,train
8qrpnFRGt2A_26,pretty close as far as just cgi heavy like this time its what its like human face and everything around that face is cartoon cgi computer effects,-1.2,train
9J25DZhivz8_1,this movie is adorable,2.2,train
